Title	Barcode	Email	Library	RBID	Checkouts	Time Period	Current Issue Default	Status	Checkout Date	Issue Date
Australian Yoga Journal				RBZ0000095	0	Monthly	2500	Active		
Surfing Life				RBZ0000096	0	Monthly	2500	Active		
Auto Express				RBZ0000097	0	Weekly	2500	Active		
Automovil Panamericano				RBZ0000098	0	Monthly	2500	Active		
Autosport				RBZ0000099	0	Weekly	1000	Active		
AZURE				RBZ0000103	0	Monthly	2500	Active		
Backcountry Magazine				RBZ0000104	0	Monthly	2500	Inactive		
Backpacker				RBZ0000105	0	Monthly	2500	Active		
Backyard & Garden Design Ideas				RBZ0000106	0	Monthly	2500	Active		
Bathroom Yearbook				RBZ0000110	0	Annually	2500	Active		
BBC Easycook				RBZ0000111	0	Monthly	2500	Active		
BBC Good Food Magazine				RBZ0000112	0	Monthly	2500	Active		
Olive Magazine				RBZ0000113	0	Monthly	2500	Active		
Bead&Button				RBZ0000118	0	Monthly	2500	Active		
Beads				RBZ0000120	0	Monthly	2500	Active		
Beadwork				RBZ0000122	0	Monthly	2500	Active		
House Beautiful Christmas Ideas				RBZ0000123	0	Monthly	2500	Active		
Kitchens & Baths				RBZ0000124	0	Monthly	500	Inactive		
Best				RBZ0000128	0	Weekly	2500	Active		
Best Buys – Audio & AV				RBZ0000129	0	Monthly	2500	Active		
Best Ever Workshop Jigs, Tips, and Ideas				RBZ0000130	0	Monthly	500	Inactive		
Best Ideas for Christmas				RBZ0000132	0	Monthly	500	Active		
Country Home				RBZ0000133	0	Monthly	500	Inactive		
Best of Creative Jewelry				RBZ0000134	0	Monthly	2500	Active		
Best of Step by Step Beads				RBZ0000135	0	Monthly	2500	Active		
Best-Ever Home Shop Ideas				RBZ0000136	0	Monthly	500	Inactive		
Outdoor Projects				RBZ0000137	0	Monthly	500	Inactive		
Better Basics with 'Fast' Ed				RBZ0000138	0	Monthly	2500	Inactive		
Better Homes and Gardens Australia				RBZ0000139	0	Monthly	2500	Active		
Bicycling				RBZ0000141	0	Monthly	2500	Active		
Bicycling Australia				RBZ0000142	0	Monthly	2500	Active		
Bicycling Buyers' Guide				RBZ0000143	0	Monthly	2500	Active		
Big League Weekly Edition				RBZ0000145	0	Weekly	2500	Active		
Bike				RBZ0000146	0	Monthly	2500	Active		
Bike México				RBZ0000147	0	Monthly	2500	Active		
Billboard Magazine				RBZ0000148	0	Weekly	2500	Active		
BirdWatching				RBZ0000149	0	Monthly	2500	Active		
Bloomberg Businessweek				RBZ0000154	0	Weekly	2500	Inactive		
Blue Mountains Life				RBZ0000156	0	Monthly	2500	Active		
BlueWater Boats & Sportsfishing				RBZ0000157	0	Monthly	2500	Active		
Boat International				RBZ0000158	0	Monthly	2500	Active		
Boat International - Best of the Best				RBZ0000159	0	Monthly	2500	Active		
Boating				RBZ0000160	0	Monthly	2500	Active		
Brides UK				RBZ0000165	0	Monthly	500	Active		
Britain				RBZ0000166	0	Monthly	2500	Active		
Build Better Model Aircraft				RBZ0000170	0	Monthly	2500	Active		
BuildHome				RBZ0000171	0	Monthly	2500	Active		
Business Traveller				RBZ0000172	0	Monthly	2500	Active		
Camera				RBZ0000175	0	Monthly	2500	Active		
Canadian Living				RBZ0000187	0	Monthly	2500	Active		
Car and Driver				RBZ0000191	0	Monthly	500	Active		
Casaviva México				RBZ0000192	0	Monthly	2500	Active		
Caras-México				RBZ0000194	0	Weekly	2500	Active		
Chez Soi				RBZ0000198	0	Monthly	2500	Inactive		
Chicago Magazine				RBZ0000199	0	Monthly	2500	Active		
Chilango				RBZ0000201	0	Monthly	2500	Inactive		
Christmas Baking				RBZ0000204	0	Monthly	500	Inactive		
Christmas Ideas				RBZ0000205	0	Monthly	500	Inactive		
Cinema Scope				RBZ0000206	0	Monthly	2500	Active		
Classic & Sports Car				RBZ0000208	0	Monthly	1000	Active		
Classic American				RBZ0000210	0	Monthly	2500	Active		
Classic Bike Guide				RBZ0000211	0	Monthly	2500	Active		
Classic Boat				RBZ0000212	0	Monthly	2500	Active		
Classic Dirt Bike				RBZ0000213	0	Monthly	2500	Active		
Classic Ford				RBZ0000214	0	Monthly	500	Active		
Classic Motorcycle Mechanics				RBZ0000215	0	Monthly	2500	Active		
Classic Racer				RBZ0000216	0	Monthly	2500	Active		
Classic Rock				RBZ0000217	0	Monthly	2500	Active		
Classic Supercars				RBZ0000219	0	Monthly	2500	Active		
Classic Toy Trains				RBZ0000220	0	Monthly	2500	Active		
Classics Monthly				RBZ0000221	0	Monthly	500	Active		
Clean Eating				RBZ0000222	0	Monthly	2500	Active		
Climbing				RBZ0000223	0	Monthly	2500	Active		
Clin d'oeil				RBZ0000224	0	Monthly	2500	Active		
Cloth Paper Scissors				RBZ0000225	0	Monthly	2500	Inactive		
Cocina Fácil				RBZ0000228	0	Monthly	2500	Active		
Columbia Journalism Review				RBZ0000230	0	Monthly	2500	Active		
Computer Music				RBZ0000233	0	Monthly	500	Active		
Computer Shopper				RBZ0000234	0	Monthly	2500	Active		
Conde Nast Traveller UK				RBZ0000235	0	Monthly	500	Active		
Container Gardening				RBZ0000239	0	Monthly	500	Inactive		
COOL!				RBZ0000241	0	Monthly	2500	Active		
Cosmopolitan				RBZ0000242	0	Monthly	500	Active		
Cosmopolitan Body				RBZ0000243	0	Monthly	2500	Active		
Cosmopolitan de Mexico				RBZ0000244	0	Weekly	2500	Active		
Cosmopolitan UK				RBZ0000247	0	Monthly	2500	Active		
Cottage Style				RBZ0000249	0	Monthly	500	Inactive		
Country French				RBZ0000251	0	Monthly	500	Inactive		
Country Gardens				RBZ0000252	0	Monthly	500	Active		
Country Homes & Interiors				RBZ0000253	0	Monthly	2500	Active		
Country Life				RBZ0000254	0	Weekly	2500	Active		
Country Living				RBZ0000256	0	Monthly	500	Active		
Country Living UK				RBZ0000257	0	Monthly	2500	Active		
BBC Countryfile Magazine				RBZ0000258	0	Monthly	2500	Active		
Coup de Pouce				RBZ0000259	0	Monthly	2500	Active		
Cowboys & Indians				RBZ0000261	0	Monthly	2500	Active		
CQ Amateur Radio				RBZ0000262	0	Monthly	2500	Active		
Crochet Traditions				RBZ0000263	0	Monthly	2500	Active		
Cross Country				RBZ0000264	0	Monthly	2500	Active		
CrossStitcher				RBZ0000266	0	Monthly	2500	Active		
Cruise International				RBZ0000267	0	Monthly	2500	Active		
Cruising World				RBZ0000268	0	Monthly	2500	Active		
Cycle Canada				RBZ0000270	0	Monthly	2500	Inactive		
Cycle World				RBZ0000273	0	Monthly	2500	Active		
Cycling Plus				RBZ0000276	0	Monthly	2500	Active		
Decanter				RBZ0000278	0	Monthly	2500	Active		
Deck, Patio & Outdoor Living				RBZ0000279	0	Monthly	500	Inactive		
Decor				RBZ0000280	0	Monthly	500	Inactive		
Dernière Heure				RBZ0000283	0	Weekly	2500	Active		
DESIGNLINES				RBZ0000284	0	Monthly	2500	Active		
Diabetes: What to Eat				RBZ0000287	0	Monthly	500	Inactive		
Diabetic Living				RBZ0000288	0	Monthly	500	Active		
Diabetic Living Australia				RBZ0000289	0	Monthly	2500	Active		
Diabetic Living Holiday Recipes				RBZ0000290	0	Monthly	500	Inactive		
Diabetic Meals Made Easy				RBZ0000291	0	Monthly	500	Inactive		
Diabetic Slow Cooker				RBZ0000292	0	Monthly	500	Inactive		
Digital Camera World				RBZ0000294	0	Monthly	500	Active		
Digital Photo				RBZ0000295	0	Monthly	2500	Active		
Digital Photo Pro				RBZ0000296	0	Monthly	2500	Active		
Digital Photography				RBZ0000297	0	Monthly	2500	Inactive		
Digital SLR Photography				RBZ0000298	0	Monthly	2500	Active		
Dirt Action				RBZ0000300	0	Monthly	2500	Active		
Dirt Action Photo Collection				RBZ0000301	0	Monthly	2500	Active		
Dirt Rider				RBZ0000302	0	Monthly	2500	Inactive		
Discover				RBZ0000304	0	Monthly	500	Active		
DIVA				RBZ0000305	0	Monthly	1000	Active		
Do It Yourself				RBZ0000306	0	Monthly	500	Active		
Dogs Life				RBZ0000307	0	Monthly	2500	Inactive		
Drawing				RBZ0000310	0	Monthly	2500	Inactive		
Drawing: The Complete Course				RBZ0000311	0	Monthly	2500	Active		
Dream Cottage Gardens				RBZ0000312	0	Monthly	500	Inactive		
Dream Garden Rooms				RBZ0000313	0	Monthly	500	Inactive		
Dream Kitchens & Baths				RBZ0000314	0	Monthly	500	Inactive		
Dream Landscapes				RBZ0000315	0	Monthly	500	Inactive		
Dreamscapes Travel & Lifestyle Magazine				RBZ0000316	0	Monthly	2500	Active		
Dressage Today				RBZ0000317	0	Monthly	2500	Inactive		
Dwell				RBZ0000319	0	Monthly	2500	Active		
EARTH Magazine				RBZ0000324	0	Monthly	2500	Inactive		
Easy Decorating Ideas				RBZ0000326	0	Monthly	500	Active		
Easy Meals				RBZ0000328	0	Monthly	500	Active		
Eating Light				RBZ0000329	0	Monthly	500	Active		
EatingWell				RBZ0000330	0	Monthly	500	Active		
Electronic Musician				RBZ0000335	0	Monthly	2500	Active		
Elevation Outdoors				RBZ0000336	0	Monthly	2500	Inactive		
Elle				RBZ0000337	0	Monthly	500	Active		
Elle Canada				RBZ0000338	0	Monthly	2500	Active		
ELLE DECOR				RBZ0000339	0	Monthly	500	Active		
ELLE México				RBZ0000340	0	Monthly	2500	Active		
ELLE QUÉBEC				RBZ0000341	0	Monthly	2500	Active		
Equus				RBZ0000344	0	Monthly	2500	Active		
ESPN The Magazine				RBZ0000346	0	Weekly	2500	Active		
Esquire				RBZ0000347	0	Monthly	500	Active		
Esquire - Mexico				RBZ0000348	0	Monthly	2500	Active		
Esquire UK				RBZ0000349	0	Monthly	2500	Active		
Esquire: The Big Watch Book				RBZ0000350	0	Monthly	2500	Active		
Essential Slow Cooker				RBZ0000351	0	Monthly	500	Inactive		
Rachael Ray Every Day				RBZ0000354	0	Monthly	500	Active		
Evo				RBZ0000356	0	Monthly	2500	Active		
Expansión				RBZ0000357	0	Weekly	2500	Active		
F1 Racing UK				RBZ0000359	0	Monthly	1000	Active		
Familia Saludable				RBZ0000361	0	Monthly	2500	Active		
Family Circle				RBZ0000362	0	Monthly	500	Active		
Family Handyman				RBZ0000363	0	Monthly	2500	Active		
Fast Bikes				RBZ0000365	0	Monthly	500	Active		
Fast Car				RBZ0000366	0	Monthly	500	Active		
Ferrari - The world's greatest F1 team in pictures				RBZ0000369	0	Monthly	1000	Active		
Ferrari Supercars The Third Edition				RBZ0000370	0	Monthly	2500	Active		
FIDO Friendly				RBZ0000371	0	Monthly	2500	Inactive		
Field & Stream				RBZ0000372	0	Monthly	2500	Active		
FineScale Modeler				RBZ0000375	0	Monthly	2500	Active		
Florida Design				RBZ0000380	0	Monthly	2500	Active		
Flying				RBZ0000381	0	Monthly	2500	Active		
Food Gifts				RBZ0000382	0	Monthly	500	Inactive		
Food Network Magazine				RBZ0000383	0	Monthly	500	Active		
Forbes				RBZ0000384	0	Weekly	200	Inactive		
Foreign Policy				RBZ0000385	0	Monthly	2500	Inactive		
Fortean Times				RBZ0000386	0	Monthly	2500	Active		
Fortean Times Paranormal Handbook				RBZ0000387	0	Monthly	2500	Active		
Four Wheeler				RBZ0000388	0	Monthly	2500	Active		
Future Music				RBZ0000395	0	Monthly	500	Active		
Gadgets				RBZ0000397	0	Monthly	2500	Inactive		
Games World of Puzzles				RBZ0000398	0	Monthly	2500	Active		
Gamesmaster				RBZ0000399	0	Monthly	500	Inactive		
Garden Making				RBZ0000401	0	Monthly	2500	Inactive		
Garden Railways				RBZ0000403	0	Monthly	2500	Active		
Gardening Australia				RBZ0000404	0	Monthly	2500	Active		
Gardening the Easy Way				RBZ0000405	0	Monthly	500	Active		
Girlfriend Australia				RBZ0000409	0	Monthly	2500	Active		
Glamour UK				RBZ0000411	0	Monthly	500	Inactive		
Gluten-Free Living				RBZ0000412	0	Monthly	2500	Active		
Golf Australia				RBZ0000415	0	Monthly	2500	Active		
Golf Monthly				RBZ0000416	0	Monthly	2500	Active		
Golf Tips				RBZ0000417	0	Monthly	2500	Active		
Good Food Eat well, Healthy				RBZ0000418	0	Monthly	2500	Active		
Good Food Festive Collection				RBZ0000419	0	Monthly	2500	Active		
Good Housekeeping				RBZ0000420	0	Monthly	500	Active		
Good Housekeeping All-time favourite Summer Cookbook				RBZ0000421	0	Monthly	2500	Active		
Good Housekeeping Christmas Cookbook				RBZ0000422	0	Monthly	2500	Active		
Good Housekeeping UK				RBZ0000423	0	Monthly	2500	Active		
GQ Australia				RBZ0000427	0	Monthly	2500	Active		
British GQ				RBZ0000429	0	Monthly	500	Active		
Great Garage Makeovers				RBZ0000432	0	Monthly	500	Inactive		
Green Living Guide				RBZ0000433	0	Monthly	2500	Active		
Grit				RBZ0000435	0	Monthly	2500	Active		
GRIT Country Skills Series				RBZ0000436	0	Monthly	2500	Active		
Guideposts				RBZ0000439	0	Monthly	2500	Active		
The Guitar Magazine				RBZ0000440	0	Monthly	2500	Active		
Guitar Player				RBZ0000441	0	Monthly	2500	Active		
Guitar Techniques				RBZ0000442	0	Monthly	500	Active		
Guitarist				RBZ0000443	0	Monthly	500	Active		
Handcrafted Jewelry				RBZ0000444	0	Monthly	2500	Active		
Handwoven				RBZ0000445	0	Monthly	2500	Active		
Harper's Bazaar				RBZ0000447	0	Monthly	500	Active		
Harper's Bazaar - Mexico				RBZ0000448	0	Weekly	2500	Active		
Harper's Bazaar UK				RBZ0000449	0	Monthly	2500	Active		
Harper's Magazine				RBZ0000450	0	Monthly	500	Active		
Health & Fitness				RBZ0000453	0	Monthly	2500	Active		
Health & Fitness Look Younger Naturally				RBZ0000454	0	Monthly	2500	Active		
Health & Fitness Tone up in 10 Minutes				RBZ0000455	0	Monthly	2500	Active		
Health & Fitness Women's Guide to Running				RBZ0000456	0	Monthly	2500	Active		
HELLO! magazine				RBZ0000458	0	Weekly	2500	Active		
Hola! Mexico				RBZ0000465	0	Weekly	2500	Active		
Holiday: 301 Recipes & Decorating Ideas				RBZ0000469	0	Monthly	500	Active		
Holidays for Couples				RBZ0000470	0	Monthly	2500	Active		
Homes & Gardens				RBZ0000472	0	Monthly	2500	Active		
Horse & Hound				RBZ0000473	0	Weekly	2500	Active		
Horse & Rider				RBZ0000474	0	Monthly	2500	Active		
Horses and People				RBZ0000476	0	Monthly	2500	Active		
Hot Bike				RBZ0000477	0	Monthly	2500	Inactive		
Hot Rod				RBZ0000478	0	Monthly	2500	Active		
Hotbook				RBZ0000479	0	Monthly	2500	Active		
House and Garden				RBZ0000481	0	Monthly	500	Active		
House Beautiful				RBZ0000482	0	Monthly	500	Active		
House Beautiful 500+ Favorite Paint Colors				RBZ0000483	0	Monthly	500	Active		
House Beautiful UK				RBZ0000484	0	Monthly	2500	Active		
House Beautiful Ultimate Guide to Kitchens sponsored by Kohler				RBZ0000485	0	Monthly	500	Active		
Houses: Kitchens + Bathrooms				RBZ0000486	0	Monthly	2500	Active		
How to Operate Your Model Railroad				RBZ0000487	0	Monthly	2500	Active		
Ideal Home				RBZ0000488	0	Monthly	2500	Active		
ImagineFX				RBZ0000489	0	Monthly	500	Active		
Inked				RBZ0000491	0	Monthly	2500	Active		
Traces (formerly Inside History)				RBZ0000492	0	Monthly	2500	Active		
Inside Out Renovating & Decorating Guide				RBZ0000495	0	Monthly	2500	Active		
Inside Sport				RBZ0000496	0	Monthly	2500	Active		
Interweave Crochet				RBZ0000500	0	Monthly	2500	Active		
Interweave Knits				RBZ0000501	0	Monthly	2500	Active		
iPad & iPhone User				RBZ0000502	0	Monthly	2500	Active		
iPad for Parents				RBZ0000503	0	Monthly	2500	Inactive		
iPhone Life				RBZ0000504	0	Monthly	2500	Active		
Italia magazine				RBZ0000506	0	Monthly	2500	Active		
Just Bikes				RBZ0000507	0	Monthly	2500	Active		
Just Cars				RBZ0000508	0	Monthly	2500	Active		
Kitchen Garden				RBZ0000517	0	Monthly	2500	Active		
knit.wear				RBZ0000519	0	Monthly	2500	Active		
Knit&Spin				RBZ0000520	0	Monthly	2500	Active		
Knitscene				RBZ0000521	0	Monthly	2500	Active		
Kung Fu Tai Chi				RBZ0000523	0	Monthly	2500	Active		
L’Annuel CANADIENS Yearbook				RBZ0000524	0	Monthly	2500	Active		
Land Rover Monthly				RBZ0000528	0	Monthly	2500	Active		
Landscapes				RBZ0000529	0	Monthly	2500	Active		
Lapidary Journal Jewelry Artist				RBZ0000530	0	Monthly	2500	Active		
Latino Leaders				RBZ0000532	0	Monthly	2500	Active		
Les Affaires				RBZ0000535	0	Weekly	2500	Active		
Les Idées de ma maison				RBZ0000536	0	Monthly	2500	Active		
Líderes Mexicanos				RBZ0000537	0	Monthly	2500	Active		
Líderes Mexicanos - Special Editions				RBZ0000538	0	Monthly	2500	Active		
Life & Style México				RBZ0000539	0	Monthly	2500	Active		
Lighting				RBZ0000540	0	Monthly	500	Inactive		
Limelight				RBZ0000541	0	Monthly	2500	Inactive		
Living The Country Life				RBZ0000544	0	Monthly	500	Active		
Lofts & Condos				RBZ0000546	0	Monthly	500	Inactive		
Lonely Planet Traveller				RBZ0006756	0	Monthly	2500	Active		
Lonely Planet Magazine: Dream Trips				RBZ0000547	0	Monthly	2500	Active		
Lowrider				RBZ0000550	0	Monthly	2500	Active		
Home Design				RBZ0000551	0	Monthly	2500	Active		
MacFormat				RBZ0000552	0	Monthly	500	Active		
Macworld				RBZ0000556	0	Monthly	2500	Active		
Macworld Australia				RBZ0000557	0	Monthly	2500	Active		
Macworld Australia: iPad Superguide				RBZ0000558	0	Monthly	2500	Active		
Macworld UK				RBZ0000559	0	Monthly	2500	Active		
Magazine TED par QA&V				RBZ0000560	0	Monthly	2500	Active		
Make-Ahead Holiday Recipes				RBZ0000562	0	Monthly	500	Inactive		
Marie Claire				RBZ0000565	0	Monthly	500	Active		
Marie Claire - UK				RBZ0000566	0	Monthly	2500	Active		
Marie Claire Australia				RBZ0000567	0	Monthly	2500	Active		
Martha Stewart Living				RBZ0000569	0	Annually	Unlimited	Active		
Martha Stewart Weddings				RBZ0000571	0	Monthly	2500	Inactive		
Maxim				RBZ0000573	0	Monthly	2500	Active		
Maxim Australia				RBZ0000574	0	Monthly	2500	Active		
Men's Fitness				RBZ0000576	0	Monthly	2500	Inactive		
Men's Fitness UK				RBZ0000577	0	Monthly	2500	Active		
Men's Health				RBZ0000578	0	Monthly	2500	Active		
Men's Health Australia				RBZ0000579	0	Monthly	2500	Active		
Men's Health UK				RBZ0000580	0	Monthly	2500	Active		
Men's Journal				RBZ0000581	0	Monthly	500	Active		
Metro				RBZ0000584	0	Monthly	2500	Active		
Mini Magazine				RBZ0000587	0	Monthly	500	Active		
Model Railroader				RBZ0000588	0	Monthly	2500	Active		
Modern Patchwork				RBZ0000589	0	Monthly	2500	Active		
MOTHER EARTH NEWS				RBZ0000593	0	Monthly	2500	Active		
Mother Earth News Food and Garden Series				RBZ0000594	0	Monthly	2500	Inactive		
MOTHER EARTH NEWS Wiser Living Series				RBZ0000595	0	Monthly	2500	Inactive		
Mother Jones				RBZ0000596	0	Monthly	2500	Active		
Moto Journal				RBZ0000597	0	Monthly	2500	Inactive		
Motociclismo Panamericano				RBZ0000598	0	Monthly	2500	Active		
Motor Boat & Yachting				RBZ0000599	0	Monthly	2500	Active		
Motor Trend				RBZ0000601	0	Monthly	2500	Active		
Motorcycle Classics				RBZ0000602	0	Monthly	2500	Active		
Motorcycle Sport & Leisure				RBZ0000605	0	Monthly	2500	Active		
Motorcyclist				RBZ0000606	0	Monthly	2500	Active		
Motorsport News				RBZ0000607	0	Weekly	1000	Active		
Mountain Bike Rider				RBZ0000608	0	Monthly	2500	Active		
Mountain Biking Australia				RBZ0000609	0	Monthly	2500	Active		
Mountain Biking UK				RBZ0000610	0	Monthly	2500	Active		
Mountain Flyer Magazine				RBZ0000611	0	Monthly	2500	Inactive		
Music Tech Focus				RBZ0000613	0	Monthly	2500	Active		
Music Tech Magazine				RBZ0000614	0	Monthly	2500	Active		
Muy Interesante - Mexico				RBZ0000615	0	Monthly	2500	Active		
National Geographic				RBZ0000618	0	Monthly	200	Active		
National Geographic Traveler				RBZ0000619	0	Monthly	200	Active		
New Scientist				RBZ0000626	0	Weekly	500	Active		
New York Review of Books				RBZ0000627	0	Weekly	2500	Active		
New York Spaces				RBZ0000628	0	Monthly	2500	Inactive		
Newsweek				RBZ0000629	0	Weekly	2500	Active		
Nueva				RBZ0000633	0	Weekly	2500	Active		
NYLON				RBZ0000634	0	Monthly	2500	Inactive		
One-Pan Recipes				RBZ0000640	0	Monthly	500	Inactive		
Octane				RBZ0000636	0	Monthly	2500	Active		
OK! Magazine				RBZ0000638	0	Weekly	2500	Active		
Opera Canada				RBZ0000642	0	Monthly	2500	Active		
Our Best Comfort Foods				RBZ0000644	0	Monthly	500	Inactive		
Diabetic Recipes				RBZ0000645	0	Monthly	500	Inactive		
Our Canada				RBZ0000646	0	Monthly	2500	Active		
OUT				RBZ0000648	0	Monthly	2500	Active		
Outdoor Life				RBZ0000650	0	Monthly	2500	Active		
Outdoor Photographer				RBZ0000651	0	Monthly	2500	Active		
Outside				RBZ0000653	0	Monthly	2500	Active		
Oxygen				RBZ0000655	0	Monthly	2500	Active		
Party Foods				RBZ0000658	0	Monthly	500	Inactive		
PC & Tech Authority				RBZ0000659	0	Monthly	2500	Inactive		
PC Magazine				RBZ0000660	0	Monthly	2500	Active		
PC Powerplay				RBZ0000661	0	Monthly	2500	Active		
PCWorld				RBZ0000662	0	Monthly	2500	Active		
Peppermint Magazine				RBZ0000663	0	Monthly	2500	Active		
Petróleo & Energía				RBZ0000666	0	Monthly	2500	Active		
Pets				RBZ0000667	0	Monthly	2500	Inactive		
PieceWork				RBZ0000669	0	Monthly	2500	Active		
Plane & Pilot				RBZ0000671	0	Monthly	2500	Active		
Poets & Writers Magazine				RBZ0000673	0	Monthly	2500	Active		
Popular Mechanics				RBZ0000676	0	Monthly	500	Active		
Popular Science				RBZ0000678	0	Monthly	2500	Active		
Powder				RBZ0000679	0	Monthly	2500	Active		
Practical Horseman				RBZ0000680	0	Monthly	2500	Active		
Prevention				RBZ0000683	0	Monthly	2500	Active		
Pro Photo				RBZ0000684	0	Monthly	2500	Active		
Proceso				RBZ0000685	0	Weekly	2500	Active		
Publishers Weekly				RBZ0000688	0	Weekly	100	Active		
Queensland Brides				RBZ0000692	0	Monthly	2500	Active		
Queensland Homes				RBZ0000693	0	Monthly	2500	Active		
Queensland Homes Gold				RBZ0000694	0	Monthly	2500	Active		
Quién				RBZ0000695	0	Weekly	2500	Active		
Quilters Companion				RBZ0000696	0	Monthly	2500	Active		
Quilting Arts Holiday				RBZ0000697	0	Monthly	2500	Active		
Quilting Arts Magazine				RBZ0000698	0	Monthly	2500	Active		
Quilts and More				RBZ0000699	0	Monthly	500	Active		
Reader's Digest				RBZ0000704	0	Monthly	2500	Active		
Reader's Digest Canada				RBZ0000705	0	Monthly	2500	Active		
Reader's Digest Living Well With Diabetes				RBZ0000706	0	Monthly	2500	Active		
Recording & Music Production – Guerrilla Guide				RBZ0000708	0	Monthly	2500	Active		
Redbook				RBZ0000709	0	Monthly	500	Inactive		
Remodel				RBZ0000710	0	Monthly	500	Inactive		
Remodeling & Makeovers				RBZ0000711	0	Monthly	500	Active		
RIDE Cycling Review				RBZ0000718	0	Monthly	2500	Inactive		
Road & Track				RBZ0000721	0	Monthly	500	Active		
Road Rider Bike Guide				RBZ0000722	0	Monthly	2500	Active		
Cruiser & Trike				RBZ0000723	0	Monthly	2500	Inactive		
Robb Report				RBZ0000724	0	Monthly	2500	Active		
Rolling Stone				RBZ0000729	0	Weekly	500	Active		
Rotman Management				RBZ0000731	0	Monthly	2500	Active		
Runner's World				RBZ0000732	0	Monthly	2500	Active		
Runner's World - Mexico				RBZ0000733	0	Monthly	2500	Active		
Saveur				RBZ0000736	0	Monthly	2500	Active		
Scrapbooks Etc. Page Planner				RBZ0000743	0	Monthly	500	Inactive		
Scuba Diving				RBZ0000744	0	Monthly	2500	Active		
