For Period: from 01/01/2017 to 02/01/2017
Title	RBID	Quantity	Issue Date	Library Name
homestyle	RBZ0005143	1	12/01/2016	christchurch
Hot Rod	RBZ0000478	2	01/01/2017	wapldmc
Hyper	RBZ0007997	1	03/01/2016	SAPLN
Ideal Home	RBZ0000488	10	06/01/2016	bromley
Ideas	RBZ0000957	1	12/01/2016	porirua
ImagineFX	RBZ0000489	3	10/01/2016	SAPLN
In Touch Weekly	RBZ0008596	6	11/21/2016	douglascountylibraries
India Today	RBZ0002353	4	09/19/2016	auckland
Inked	RBZ0000491	1	07/01/2015	librariesni
Inside Out	RBZ0004016	3	10/01/2016	yarraplenty
Inside Sport	RBZ0000496	1	08/01/2016	lakemacquarie
Interweave Knits	RBZ0000501	9	11/01/2016	huntleyil
iPad & iPhone User	RBZ0000502	1	11/01/2016	calgaryab
Just Bikes	RBZ0000507	5	11/01/2016	SAPLN
Kiplinger's Personal Finance	RBZ0000514	11	01/01/2017	lakelandcoop
Kiteworld Magazine Travel Guide 2015	RBZ0008357	1	03/01/2016	rbdigitaltrial
Knitting & Crochet from Woman’s Weekly	RBZ0007343	9	01/01/2017	lgma
L'auto-journal acheteur	RBZ0004713	1	11/01/2016	banqqc
Le Journal du dimanche	RBZ0008537	1	12/04/2016	rbdigitaltrial
Le Point	RBZ0001404	1	11/03/2016	rbdigitaltrial
Life & Style Weekly	RBZ0008597	2	12/19/2016	rbdigitaltrial
Linux Format	RBZ0002743	4	11/01/2016	wapldmc
Lion’s Roar	RBZ0005077	2	01/01/2017	easternregionallibraries
Living Etc	RBZ0000901	3	02/01/2015	wfhowes
Lonely Planet Traveller	RBZ0006756	23	01/01/2017	brisbane
Love to make with Woman's Weekly	RBZ0007342	2	06/01/2016	SAPLN
MacFormat	RBZ0000552	1	08/01/2016	hertfordshirelibraries
MacLife	RBZ0005068	1	11/01/2016	calgaryab
Mania	RBZ0007861	2	06/01/2016	auckland
Marie Claire	RBZ0000565	3	11/01/2016	douglascountylibraries
Marie Claire - France	RBZ0002311	4	01/01/2017	banqqc
Marie Claire - UK	RBZ0000566	13	01/01/2017	rotherhammbc
Marie France	RBZ0004237	1	11/01/2016	banqqc
Martha Stewart Living	RBZ0000569	16	09/01/2016	ocpubliclibraries
Maxim	RBZ0000573	5	05/01/2015	stlouismo
MCN	RBZ0007883	1	11/30/2016	auckland
Men's Fitness	RBZ0000576	2	11/01/2016	stlouismo
Men's Health	RBZ0000578	3	10/01/2016	knoxtn
Men's Health Australia	RBZ0000579	4	01/01/2017	defenceau
Men's Health UK	RBZ0000580	6	10/01/2016	wales
Men's Journal	RBZ0000581	3	01/01/2017	knoxtn
Mezzanine	RBZ0008235	1	01/01/2017	SAPLN
Model Rail	RBZ0007884	1	06/01/2016	wales
MOJO	RBZ0007885	3	01/01/2017	kent
Mollie Makes	RBZ0003271	15	03/01/2017	kent
Money Australia	RBZ0005793	1	12/01/2016	brisbane
Mother Earth Living	RBZ0005254	2	01/01/2017	lakelandcoop
MOTHER EARTH NEWS	RBZ0000593	3	12/01/2016	auckland
MOTHER EARTH NEWS Wiser Living Series	RBZ0000595	1	12/01/2016	westchesterin
Motor Trend	RBZ0000601	16	01/01/2017	milwaukeecountyfederatedwi
Muscle & Fitness	RBZ0005761	2	10/01/2016	fountaindaleil
National Enquirer	RBZ0005759	2	12/05/2016	calgaryab
National Geographic	RBZ0000618	4	11/01/2016	douglascountylibraries
National Geographic Traveler	RBZ0000619	6	12/01/2016	huntleyil
net	RBZ0000002	5	09/01/2016	wales
New Scientist Australian Edition	RBZ0006376	5	11/26/2016	abc
New Scientist The Collection	RBZ0007315	4	04/01/2016	easternregionallibraries
New York Review of Books	RBZ0000627	7	12/22/2016	lgma
Newsweek	RBZ0000629	14	12/09/2016	cinhamiltonoh
NEXT	RBZ0008905	2	12/01/2016	auckland
Nourish magazine	RBZ0007632	5	11/01/2016	moretonbay
Now	RBZ0000902	6	08/15/2016	greatermanchester
NW Magazine	RBZ0007759	1	12/05/2016	rbdigitalgatewaytrial
NZ Lifestyle Block	RBZ0001714	1	09/01/2016	huttcity
NZBusiness+Management	RBZ0002301	5	09/01/2015	librarysupply
O, The Oprah Magazine	RBZ0000635	23	01/01/2017	southeastzone
Octane	RBZ0000636	3	01/01/2017	auckland
Official PlayStation Magazine - UK Edition	RBZ0003970	1	11/01/2016	highlandlibraryservice
OK! Magazine	RBZ0000638	16	12/12/2016	auckland
OK! Magazine Australia	RBZ0007760	1	10/10/2016	SAPLN
Outdoor Photographer	RBZ0000651	1	08/01/2015	auckland
Overlander 4WD	RBZ0007812	1	07/01/2016	southeastzone
Oxygen Magazine Australian Edition	RBZ0008811	1	09/01/2016	SAPLN
Paleo Magazine	RBZ0004359	1	06/01/2016	cinhamiltonoh
Parents	RBZ0005912	1	07/01/2016	uplc
PC & Tech Authority	RBZ0000659	5	11/01/2016	brisbane
PC Magazine	RBZ0000660	4	12/01/2016	mainincnj
PC Pro	RBZ0000985	16	12/01/2016	hertfordshirelibraries
PCWorld	RBZ0000662	2	07/01/2016	westsussex
People Magazine South Africa	RBZ0005960	2	10/21/2016	rbdigitalbusinesstrial
Peppermint Magazine	RBZ0000663	4	09/01/2016	SAPLN
Photography Week	RBZ0007637	1	12/01/2016	SAPLN
PieceWork	RBZ0000669	2	09/01/2016	cinhamiltonoh
Plane & Pilot	RBZ0000671	1	12/01/2016	auckland
Poets & Writers Magazine	RBZ0000673	3	11/01/2016	wapldmc
Point de vue	RBZ0001461	1	11/23/2016	banqqc
Popular Mechanics	RBZ0000676	2	12/01/2016	douglascountylibraries
Popular Photography	RBZ0000677	5	01/01/2017	lakelandcoop
Popular Science	RBZ0000678	4	09/01/2016	southernsydney
Practical Classics	RBZ0007888	2	01/01/2017	wfhowes
Prevention	RBZ0000683	4	11/01/2016	auckland
Q Magazine	RBZ0007892	2	10/01/2015	greatermanchester
Rachael Ray Every Day	RBZ0000354	3	06/01/2016	harfordcountymd
Radio Times	RBZ0007730	5	12/03/2016	llcuk
Rapid Bikes	RBZ0005753	5	11/01/2016	SAPLN
Reader's Digest	RBZ0000704	2	12/01/2016	greatermanchester
Reader's Digest International	RBZ0000089	1	09/01/2016	SAPLN
recipes+	RBZ0005119	1	12/01/2016	wapldmc
Red UK	RBZ0006994	4	01/01/2017	lgma
Redbook	RBZ0000709	6	11/01/2016	southeastzone
RIDE Cycling Review	RBZ0000718	1	10/01/2016	SAPLN
Rolling Stone	RBZ0000729	2	12/15/2016	milwaukeecountyfederatedwi
Rolling Stone - France	RBZ0001464	1	12/01/2016	banqqc
Rolling Stone Australia	RBZ0007761	4	01/01/2017	hamilton
Rugby World	RBZ0001037	3	11/01/2016	wapldmc
Runner's World	RBZ0000732	1	09/01/2014	harfordcountymd
Runner's World UK	RBZ0006988	4	01/01/2017	eastriding
Saveur	RBZ0000736	1	12/01/2016	auckland
Screen Education	RBZ0003861	2	01/01/2017	SAPLN
SFX	RBZ0001001	5	01/01/2017	Suffolk
Shape	RBZ0000753	1	07/01/2015	harfordcountymd
Shutterbug	RBZ0000757	1	11/01/2016	calgaryab
Simply Crochet	RBZ0005583	17	01/01/2017	librariesni
Skiing	RBZ0000761	1	11/01/2016	rbdigitaltrial
SkyNews	RBZ0000763	1	01/01/2017	calgaryab
Smith Journal	RBZ0000769	1	01/01/2017	easternregionallibraries
Smithsonian Magazine	RBZ0000770	8	01/01/2015	lmxac
Soap Opera Digest	RBZ0001241	1	12/05/2016	palmbeachfl
Southern Lady	RBZ0007831	1	01/01/2017	lakelandcoop
Spirituality & Health Magazine	RBZ0000776	3	05/01/2015	SAPLN
Star Magazine	RBZ0000780	2	07/04/2016	fountaindaleil
Stuff UK	RBZ0007092	8	12/01/2016	hertfordshirelibraries
Style At Home	RBZ0000907	12	10/01/2016	wfhowes
Successful Farming	RBZ0000787	1	11/01/2016	banqqc
Super Food Ideas	RBZ0004019	5	11/01/2016	frasercoast
Surfing World Magazine	RBZ0000791	1	01/01/2017	lakemacquarie
T3	RBZ0006995	2	12/01/2016	SAPLN
Taste of the South	RBZ0007821	6	01/01/2017	lakelandcoop
Taste.com.au	RBZ0000079	1	12/01/2016	Ipswichlibrary
Teen Vogue	RBZ0005639	1	12/01/2016	midyorkny
The Advocate	RBZ0000028	1	10/01/2016	wapldmc
The Artist's Magazine	RBZ0005320	3	10/01/2016	SAPLN
The Atlantic	RBZ0005403	2	09/01/2016	midyorkny
The Australian Women's Weekly	RBZ0006978	15	11/01/2016	gleneira
The Economist	RBZ0000331	12	05/28/2016	lgma
The Field	RBZ0001040	1	12/01/2016	auckland
The Hockey News	RBZ0000462	1	12/05/2016	strathconacoab
The New Yorker	RBZ0006233	16	07/04/2016	cinhamiltonoh
The Week	RBZ0002827	6	11/19/2016	banqqc
The Week Magazine	RBZ0005102	3	11/18/2016	rbdigitaltrial
The Writer	RBZ0000886	1	01/01/2017	oclnny
Today's Golfer	RBZ0007894	1	01/01/2017	lgma
Total Film	RBZ0001015	1	01/01/2017	librariesni
Traditional Home	RBZ0000810	1	09/01/2016	douglascountylibraries
Trains	RBZ0000811	2	01/01/2017	calgaryab
Travel + Leisure India & South Asia	RBZ0002642	1	06/01/2016	brisbane
TV Guide Magazine	RBZ0005492	3	11/21/2016	milwaukeecountyfederatedwi
Two Wheels	RBZ0007913	4	02/01/2016	SAPLN
UNCUT	RBZ0007155	1	12/01/2016	wapldmc
Us Weekly	RBZ0000831	2	09/19/2016	baldwinny
Vanity Fair	RBZ0005579	10	11/01/2016	christchurch
Vegetarian Today	RBZ0000839	4	11/01/2013	oclnny
Victoria	RBZ0007833	2	01/01/2017	lakelandcoop
Vogue	RBZ0006586	2	11/01/2016	librariesni
Vogue Magazin (D)	RBZ0004535	1	01/01/2017	banqqc
Wallpaper	RBZ0006999	2	05/01/2016	auckland
Webuser	RBZ0001026	16	11/30/2016	southeastzone
Weight Watchers	RBZ0000855	2	07/01/2016	SAPLN
Wilderness	RBZ0002475	1	08/01/2016	wellingtoncity
Wine Enthusiast Magazine	RBZ0001717	3	11/01/2016	auckland
Winestate Magazine	RBZ0000873	3	01/01/2016	wapldmc
WIRED	RBZ0005574	3	11/01/2016	abc
WIRED UK	RBZ0003876	1	12/01/2016	llcuk
Woman	RBZ0001045	16	09/05/2016	sheffield
Woman & Home	RBZ0000915	15	12/01/2016	bromley
Woman & Home Feel Good You	RBZ0006271	1	03/01/2016	llcuk
Woman's Day	RBZ0005128	7	11/28/2016	selwyndistrict
Woman's Day	RBZ0000875	4	11/01/2013	harfordcountymd
Woman's Own	RBZ0001046	10	12/12/2016	greatermanchester
Woman's Weekly	RBZ0000911	19	09/13/2016	SAPLN
Woman's World	RBZ0008599	9	12/05/2016	pimacoaz
Women's Health	RBZ0000880	7	12/01/2016	douglascountylibraries
Women's Health and Fitness Magazine	RBZ0005597	3	07/01/2016	wapldmc
WOOD Magazine	RBZ0000881	2	12/01/2016	auckland
Woodcraft Magazine	RBZ0000882	1	12/01/2016	snap
World Soccer	RBZ0000912	1	08/01/2016	llcuk
Yachting Monthly	RBZ0000913	1	10/01/2016	wales
Yachting World	RBZ0000914	5	12/01/2016	shorelink
Yen	RBZ0000888	2	05/01/2016	SAPLN
Yoga Journal	RBZ0000890	1	12/01/2016	librariesni
Your Home and Garden	RBZ0008877	2	09/01/2016	auckland
Yours Magazine	RBZ0007920	1	11/08/2016	llcuk
Total	1314		
