Library Name	Title	RBID	Issue Date	Remaining Circs	Active Issues
8080 Test Library	4 Wheel & Off Road	RBZ0000015	03/01/2020	247500	12
8080 Test Library	400 Calories or Less: Easy Italian	RBZ0000016	09/01/2011	49500	1
8080 Test Library	47 Creative Photography & Photoshop Projects	RBZ0007596	08/01/2014	49500	1
8080 Test Library	4x4 magazine	RBZ0001787	03/01/2020	247500	7
8080 Test Library	4x4 Magazine Australia	RBZ0007748	03/01/2020	247499	16
8080 Test Library	50 Baby Knits	RBZ0008729	06/01/2016	247500	1
8080 Test Library	50 Dream Rooms	RBZ0006495	09/01/2013	247500	1
8080 Test Library	50 Great British Locomotives	RBZ0000019	10/21/2008	247500	1
8080 Test Library	50 Greatest Mysteries in the Universe	RBZ0004669	10/17/2018	49500	1
8080 Test Library	The 50 Greatest SciFi Icons	RBZ0006686	12/02/2015	99000	1
8080 Test Library	50 Photo Projects Vol 2	RBZ0005847	02/01/2013	247500	1
8080 Test Library	50 Things No Man Should Be Without	RBZ0006191	05/01/2013	247500	1
8080 Test Library	50+ Decorating Ideas	RBZ0006926	02/01/2014	247500	1
8080 Test Library	500 Calorie Diet Complete Meal Planner	RBZ0007308	04/01/2014	247500	1
8080 Test Library	52 Bracelets	RBZ0000020	03/01/2012	247500	1
8080 Test Library	5280 Magazine	RBZ0000021	03/01/2020	247499	14
8080 Test Library	60 Days of Prayer	RBZ0010188	02/01/2020	49500	7
8080 Test Library	The 60 Most Important Albums of NME's Lifetime	RBZ0005073	08/01/2012	247500	1
8080 Test Library	7 Jours	RBZ0000022	03/13/2020	247499	62
8080 Test Library	8 Weeks to a flatter belly	RBZ0008051	05/01/2015	247500	1
8080 Test Library	90 Glorious Years - The Queen's life decade by decade	RBZ0008889	07/01/2016	49500	1
8080 Test Library	90's Movies - The Ultimate Celebration	RBZ0008698	06/01/2016	49500	1
8080 Test Library	A brief guide to Apple TV	RBZ0006460	08/01/2013	247500	1
8080 Test Library	A brief guide to Connecting your Apple gear	RBZ0006461	08/01/2013	247500	1
8080 Test Library	A Brief guide to Creative Design	RBZ0006634	09/01/2013	247500	1
8080 Test Library	A brief guide to iTunes 11	RBZ0006462	08/01/2013	247500	1
8080 Test Library	A brief guide to MacBooks	RBZ0006464	08/01/2013	247500	1
8080 Test Library	A Photographer's Guide to RAW in Photoshop	RBZ0003589	09/01/2011	49500	1
8080 Test Library	A Royal Celebration	RBZ0004808	05/14/2012	247500	1
8080 Test Library	The A To Z Of Superheroes	RBZ0008166	04/01/2017	49500	1
8080 Test Library	A Year of Plants - from the makers of Gardens Illustrated magazine	RBZ0008325	09/01/2014	247500	1
8080 Test Library	A&W ARCHITEKTUR & WOHNEN	RBZ0009059	01/01/2020	247500	7
8080 Test Library	a+t	RBZ0004758	12/01/2016	247500	1
8080 Test Library	a+u Architecture and Urbanism a+u 建築と都市　	RBZ0009329	02/20/2020	Unlimited	20
8080 Test Library	ABC Organic Gardener Magazine	RBZ0005129	03/01/2020	19799	9
8080 Test Library	ABC Organic Gardener Magazine Essential Guides	RBZ0005223	04/01/2016	19800	1
8080 Test Library	ABC Soaps In Depth	RBZ0001850	03/09/2020	49500	30
8080 Test Library	ABC 互動英語	RBZ0010176	02/24/2020	247500	14
8080 Test Library	Accion Cine-Video	RBZ0002375	03/01/2020	247499	14
8080 Test Library	Aces: Discovering Guitar's First Heroes	RBZ0008502	01/01/2016	247500	1
8080 Test Library	Acoustic Sprint 2015 - The Fingerstyle Issue	RBZ0007951	04/01/2015	49500	1
8080 Test Library	Acoustic Sprint 2015 - The Folk Issue	RBZ0008159	07/01/2015	49500	1
8080 Test Library	Acoustic Winter 2015 - The Songwriter Issue	RBZ0008393	12/01/2015	49500	1
8080 Test Library	Action Photography	RBZ0009822	07/01/2017	247500	1
8080 Test Library	AD Choice	RBZ0004619	06/27/2019	9900	1
8080 Test Library	AD Collector	RBZ0001829	04/01/2017	247500	1
8080 Test Library	AD España	RBZ0004665	03/01/2020	247499	13
8080 Test Library	AD France	RBZ0001804	01/01/2020	247500	9
8080 Test Library	AD Inspirations	RBZ0008939	07/01/2017	247500	1
8080 Test Library	AD Italia	RBZ0003251	02/01/2020	19799	14
8080 Test Library	AD Magazin (D)	RBZ0004531	03/01/2020	9900	12
8080 Test Library	AD Russia	RBZ0002263	03/01/2020	247500	14
8080 Test Library	AD 安邸	RBZ0005126	03/07/2020	247499	15
8080 Test Library	Adega	RBZ0005975	03/01/2020	247499	14
8080 Test Library	Adirondack Explorer	RBZ0003021	03/01/2020	49499	8
8080 Test Library	Adirondack Life	RBZ0005788	03/01/2020	247499	9
8080 Test Library	AdNews	RBZ0008610	03/01/2020	247500	12
8080 Test Library	The Adobe Creative Cloud Book	RBZ0007280	03/01/2014	99000	1
8080 Test Library	The Adobe Creative Suite Book	RBZ0006016	03/01/2013	99000	1
8080 Test Library	Adobe Photoshop & Lightroom Workshops 3	RBZ0009056	11/01/2016	247500	1
8080 Test Library	Adult Coloring Book: Birds of the World	RBZ0008800	07/01/2016	247500	1
8080 Test Library	Adult Coloring Book: Dragon World	RBZ0008801	07/01/2016	247500	1
8080 Test Library	Adult Coloring Book: Ocean Animal Patterns	RBZ0008786	07/01/2016	247500	1
8080 Test Library	Adult Coloring Book: Stress Relieving Animal Designs Volume 2	RBZ0008789	07/01/2016	247500	1
8080 Test Library	Adult Coloring Book: Stress Relieving Dolphin Patterns	RBZ0008785	07/01/2016	247500	1
8080 Test Library	Adult Coloring Book: Stress Relieving Flower Patterns	RBZ0008790	07/01/2016	247500	1
8080 Test Library	Adult Coloring Book: Stress Relieving Patterns	RBZ0008781	07/01/2016	247500	1
8080 Test Library	Adult Coloring Book: Stress Relieving Patterns, Volume 2	RBZ0008779	07/01/2016	495000	1
8080 Test Library	Adult Coloring Book: Stress Relieving Peacocks	RBZ0008784	07/01/2016	247500	1
8080 Test Library	Adult Coloring Book: Stress Relieving Tropical Travel Patterns	RBZ0008803	07/01/2016	247500	1
8080 Test Library	The Advanced Guide to Windows 10	RBZ0008971	10/01/2016	247500	1
8080 Test Library	Advanced Loom Bands Projects	RBZ0007713	12/01/2014	247500	1
8080 Test Library	Advanced Photography Camera Skills	RBZ0006653	09/01/2013	247500	1
8080 Test Library	Advanced Photography Skills	RBZ0008341	04/01/2013	247500	1
8080 Test Library	Advanced Photography Software Skills	RBZ0006691	10/01/2013	247500	1
8080 Test Library	Advanced Photoshop: The Premium Collection	RBZ0004689	08/01/2015	99000	1
8080 Test Library	Advanced 彭蒙惠英語	RBZ0001171	02/18/2020	247499	14
8080 Test Library	The Advocate	RBZ0000028	02/01/2020	247499	7
8080 Test Library	Adweek	RBZ0002643	03/09/2020	24748	38
8080 Test Library	AERO Magazine	RBZ0005976	02/01/2020	247499	14
8080 Test Library	AERO Magazine América Latina	RBZ0008613	03/01/2020	247499	7
8080 Test Library	Aero Magazine International	RBZ0010092	02/01/2020	247500	7
8080 Test Library	AFAR	RBZ0003187	03/01/2020	49499	7
8080 Test Library	Affaires Plus (A+)	RBZ0000023	11/13/2019	247500	3
8080 Test Library	The Africa Report	RBZ0002891	04/01/2020	49499	5
8080 Test Library	African Hunting Gazette	RBZ0008294	01/01/2020	247500	5
8080 Test Library	Afrique Magazine	RBZ0009612	02/01/2020	247499	13
8080 Test Library	Air & Space	RBZ0010076	02/01/2020	247500	8
8080 Test Library	ALBA TROSS-VIEW 阿路巴高爾夫 國際中文版	RBZ0010177	03/06/2020	247500	15
8080 Test Library	Alberta Views Magazine	RBZ0010073	12/01/2019	49500	9
8080 Test Library	Algarabía	RBZ0000035	02/01/2020	247499	14
8080 Test Library	Algarabía Niños	RBZ0006474	03/01/2020	247499	8
8080 Test Library	Algarabía Tópicos	RBZ0000037	06/01/2013	247500	1
8080 Test Library	All About History	RBZ0006251	02/21/2020	98999	19
8080 Test Library	All About History 1066 & The Battle Of Hastings	RBZ0009221	03/01/2017	49500	1
8080 Test Library	All About History Annual	RBZ0007623	01/01/2018	99000	1
8080 Test Library	All About History Book Of Ancient Egypt	RBZ0008304	12/01/2016	247500	1
8080 Test Library	All About History Book of British Royals	RBZ0008309	02/01/2017	99000	1
8080 Test Library	All About History Book Of Flight	RBZ0008667	05/01/2016	99000	1
8080 Test Library	All About History Book Of Greatest Battles	RBZ0008022	11/01/2016	99000	1
8080 Test Library	All About History Book of Historic Leaders	RBZ0006825	03/01/2014	99000	1
8080 Test Library	All About History Book of History Year By Year	RBZ0007710	12/01/2016	99000	1
8080 Test Library	All About History Book of Kings & Queens	RBZ0006811	12/01/2016	99000	1
8080 Test Library	All About History Book Of Medieval History	RBZ0008993	09/01/2016	247500	1
8080 Test Library	All About History Book Of Myths & Legends	RBZ0008987	10/01/2016	247500	1
8080 Test Library	All About History Book of Shakespeare	RBZ0007307	04/01/2014	99000	1
8080 Test Library	All About History Book of The Battle Of Britain	RBZ0008072	07/01/2016	247500	1
8080 Test Library	All About History Book Of The British Empire	RBZ0008640	03/01/2016	247500	1
8080 Test Library	All About History Book Of The First World War	RBZ0007371	04/01/2016	99000	1
8080 Test Library	All About History Book of the Founding of the United States Volume 1	RBZ0007745	01/02/2018	99000	1
8080 Test Library	All About History Book Of The Roman Empire	RBZ0008827	07/01/2016	247500	1
8080 Test Library	All About History Book of The Titanic	RBZ0008406	01/01/2018	99000	1
8080 Test Library	All About History Book Of The Tudors	RBZ0008103	02/01/2017	99000	1
8080 Test Library	All About History Book Of The Victorians	RBZ0008181	01/01/2018	99000	1
8080 Test Library	All About History Book Of US Presidents	RBZ0008564	09/01/2016	247500	1
8080 Test Library	All About History Book of Vikings	RBZ0007700	12/01/2016	99000	1
8080 Test Library	All About History Book of War Volume 1	RBZ0007581	08/01/2014	99000	1
8080 Test Library	All About History Book Of Weird History	RBZ0008919	07/01/2016	247500	1
8080 Test Library	All About History Book Of World War II	RBZ0007546	06/01/2016	99000	1
8080 Test Library	All About History Events That Changed The World	RBZ0007970	01/01/2017	99000	1
8080 Test Library	All About History Jack The Ripper	RBZ0007791	03/01/2017	99000	1
8080 Test Library	All About History: Book of Ancient Rome	RBZ0007453	03/01/2016	99000	1
8080 Test Library	All About Space	RBZ0004983	08/01/2020	98999	16
8080 Test Library	All About Space Annual	RBZ0006769	11/01/2016	99000	1
8080 Test Library	All About Space Book of the Solar System	RBZ0006805	01/01/2016	99000	1
8080 Test Library	All About Space Tour of the Universe	RBZ0007454	09/01/2016	99000	1
8080 Test Library	All Natura	RBZ0010150	04/01/2019	247500	1
8080 Test Library	All-Star Electric Trains	RBZ0009909	10/01/2017	247500	1
8080 Test Library	Allure	RBZ0005641	03/01/2020	49500	13
8080 Test Library	Alt om haven	RBZ0010115	03/01/2020	9900	12
8080 Test Library	Alt om videnskab	RBZ0010119	10/01/2019	9900	5
8080 Test Library	Alto Nivel	RBZ0004945	12/01/2019	247500	11
8080 Test Library	Amateur Gardening	RBZ0006696	03/07/2020	247499	61
8080 Test Library	Amateur Photographer	RBZ0000040	03/07/2020	247500	60
8080 Test Library	Amateur Photographer Advanced Photography Skills.	RBZ0005032	03/01/2015	247500	1
8080 Test Library	Amateur Photographer's Complete Guide to Photography	RBZ0008356	12/01/2015	247500	1
8080 Test Library	Amazing Loom Band Projects	RBZ0007580	08/01/2014	247500	1
8080 Test Library	Ambientes - Chile	RBZ0007942	02/03/2020	247499	7
8080 Test Library	America's Civil War	RBZ0005967	05/01/2020	49499	7
8080 Test Library	American Art Collector	RBZ0009328	03/01/2020	49499	14
8080 Test Library	American Civil War Story	RBZ0008730	06/01/2016	247500	1
8080 Test Library	American Craft	RBZ0000044	02/01/2020	247500	7
8080 Test Library	American Farmhouse Style	RBZ0009827	02/01/2020	247500	7
8080 Test Library	American Fine Art Magazine	RBZ0009324	03/01/2020	49499	7
8080 Test Library	American Frontiersman	RBZ0010185	12/01/2019	49500	3
8080 Test Library	American History	RBZ0005968	04/01/2020	49500	7
8080 Test Library	American Iron Magazine	RBZ0004770	01/30/2020	49500	16
8080 Test Library	The American Poetry Review	RBZ0000048	03/01/2020	247499	8
8080 Test Library	The American Scholar	RBZ0003194	03/01/2020	49499	5
8080 Test Library	American Survival Guide	RBZ0007910	04/01/2020	247499	14
8080 Test Library	AMERICAN THEATRE	RBZ0004822	03/01/2020	49499	11
8080 Test Library	Amgen Tour of California Official 2011 Tour Program	RBZ0003416	05/01/2011	49500	1
8080 Test Library	The Amiga Book	RBZ0007804	03/01/2016	99000	1
8080 Test Library	Amigurumi Collection	RBZ0008063	02/13/2020	247499	2
8080 Test Library	Amura Yachts & Lifestyle	RBZ0008721	10/01/2019	247500	6
8080 Test Library	Anatomy Essentials	RBZ0007696	11/01/2014	49500	1
8080 Test Library	Android Advisor	RBZ0006925	02/01/2020	247499	14
8080 Test Library	Android App Directory Vol 1	RBZ0004849	05/20/2012	99000	1
8080 Test Library	Android App Directory Vol 2	RBZ0004820	05/20/2012	99000	1
8080 Test Library	Android App Directory Vol 3	RBZ0005286	09/01/2012	99000	1
8080 Test Library	The Android Book	RBZ0005416	10/01/2014	99000	1
8080 Test Library	The Android Book Revised Edition	RBZ0004824	05/15/2012	99000	1
8080 Test Library	Android for Beginners Revised Edition	RBZ0005007	10/01/2015	99000	1
8080 Test Library	Android Tips, Tricks & Apps Vol 1	RBZ0004823	05/20/2012	99000	1
8080 Test Library	Android Tips, Tricks & Apps Vol 3	RBZ0004832	05/20/2012	99000	1
8080 Test Library	Android Tips, Tricks, Apps & Hacks	RBZ0005349	11/01/2015	99000	1
8080 Test Library	Android Tips, Tricks, Apps & Hacks Vol. 2	RBZ0004690	04/01/2012	99000	1
8080 Test Library	The Android Wear Book	RBZ0007975	04/01/2015	99000	1
8080 Test Library	Angels on Earth magazine	RBZ0000054	03/01/2020	247498	7
8080 Test Library	Animal Tales	RBZ0008595	04/01/2020	49499	7
8080 Test Library	Animals Volume 1, Celebration Edition	RBZ0008777	07/01/2016	247500	1
8080 Test Library	Annabel Karmel Family Summer Cookbook	RBZ0002139	01/01/2009	247500	1
8080 Test Library	Annabel Karmel Family Cookbook Winter and Christmas 2009	RBZ0002035	01/01/2009	247500	1
8080 Test Library	Año/Cero	RBZ0004495	03/01/2020	247499	14
8080 Test Library	Answers To Life's Big Questions	RBZ0009315			0
8080 Test Library	Antik & Auktion Denmark	RBZ0010116	02/01/2020	9900	11
8080 Test Library	Antique Trader	RBZ0010198	03/11/2020	49500	29
8080 Test Library	Anuario Astrológico 2016/17	RBZ0008236	10/15/2019	247500	1
8080 Test Library	Apartments	RBZ0006024	04/01/2013	247500	1
8080 Test Library	APC	RBZ0010085	03/01/2020	247500	15
8080 Test Library	Aperture	RBZ0000057	11/19/2019	247500	4
8080 Test Library	Apple User's Gift Guide	RBZ0006876	12/01/2013	49500	1
8080 Test Library	The Apple Watch Book	RBZ0008314	10/01/2016	99000	1
8080 Test Library	Apple Watch For Beginners	RBZ0008045	12/01/2016	247500	1
8080 Test Library	Apple Watch The Complete Manual	RBZ0008035	12/01/2016	99000	1
8080 Test Library	AppleMagazine	RBZ0000059	03/06/2020	247500	62
8080 Test Library	Apps + Games for iPhone and iPad	RBZ0005660	05/01/2013	49500	1
8080 Test Library	Aquarium a la Maison	RBZ0002428	11/01/2019	247500	5
8080 Test Library	Arabian Horse World	RBZ0001437	01/01/2020	49499	11
8080 Test Library	Arc	RBZ0004332	03/01/2014	49500	1
8080 Test Library	ARCHAEOLOGY	RBZ0005148	03/01/2020	49500	7
8080 Test Library	Architectural Digest	RBZ0005581	03/01/2020	49499	13
8080 Test Library	Architectural Digest India	RBZ0004296	01/01/2020	247500	9
8080 Test Library	Architectural Digest Latinoamérica	RBZ0010173	03/01/2020	Unlimited	5
8080 Test Library	Architectural Digest Mexico	RBZ0005157	03/01/2020	247499	14
8080 Test Library	Architectural Review Asia Pacific	RBZ0002687	10/01/2019	247500	4
8080 Test Library	Architecture Australia	RBZ0000062	01/01/2020	247499	7
8080 Test Library	Armes de chasse	RBZ0001871	12/16/2019	247500	4
8080 Test Library	Armes de chasse HS	RBZ0004420	11/01/2017	247500	1
8080 Test Library	Arquitectura y Diseño	RBZ0004390	03/01/2020	247499	13
8080 Test Library	Arquitectura y diseño de interiores	RBZ0009082	02/01/2018	247500	1
8080 Test Library	Art & Décoration	RBZ0006171	03/01/2020	247499	11
8080 Test Library	Art Almanac	RBZ0005834	03/01/2020	247499	13
8080 Test Library	Art New Zealand	RBZ0007274	03/01/2020	247499	5
8080 Test Library	Art Nouveau Birds: A Stress Relieving Adult Coloring Book	RBZ0008807	07/01/2016	247500	1
8080 Test Library	The Art of Film	RBZ0008164	03/01/2017	49500	1
8080 Test Library	The Art of Healing	RBZ0000065	03/01/2020	247498	5
8080 Test Library	ArtAsiaPacific	RBZ0004294	03/01/2020	247499	7
8080 Test Library	ArtAsiaPacific Almanac	RBZ0004295	12/01/2017	247500	1
8080 Test Library	ARTE Magazin	RBZ0005520	03/01/2020	247499	14
8080 Test Library	Artichoke	RBZ0004152	12/01/2019	247500	4
8080 Test Library	Artist Profile	RBZ0003687	02/13/2020	247499	5
8080 Test Library	The Artist's Guide to Illustration	RBZ0003990	11/01/2011	247500	1
8080 Test Library	The Artist's Guide to Photoshop	RBZ0003101	04/01/2011	247500	1
8080 Test Library	The Artist's Magazine	RBZ0005320	04/01/2020	49499	12
8080 Test Library	Artist's Palette	RBZ0007484	02/01/2020	247499	7
8080 Test Library	Artists & Illustrators	RBZ0000066	04/01/2020	247499	16
8080 Test Library	Artists Back to Basics	RBZ0007652	01/01/2020	247499	4
8080 Test Library	Artists Drawing and Inspiration	RBZ0007534	03/01/2020	247499	5
8080 Test Library	ASIAN Geographic	RBZ0003777	02/01/2020	247499	7
8080 Test Library	ASPIRE DESIGN AND HOME	RBZ0010004	12/01/2019	247500	5
8080 Test Library	Aston Martin: The Complete Story	RBZ0003042	02/15/2011	247500	1
8080 Test Library	Astronomer Book	RBZ0007442	05/01/2014	99000	1
8080 Test Library	Astronomy	RBZ0000068	04/01/2020	247499	14
8080 Test Library	Astronomy for Beginners	RBZ0006715	10/05/2016	99000	1
8080 Test Library	Astronomy for Kids	RBZ0010219	02/13/2019	49500	1
8080 Test Library	Astronomy The Complete Manual	RBZ0009211	12/01/2016	49500	1
8080 Test Library	The Atari Book 40th Anniversary	RBZ0005605	10/01/2015	99000	1
8080 Test Library	Atlanta Homes & Lifestyles	RBZ0009971	03/01/2020	247500	14
8080 Test Library	Atlas of the Stars: New Edition	RBZ0009903	09/01/2017	247500	1
8080 Test Library	Atomic Ranch	RBZ0008131	01/01/2020	148499	6
8080 Test Library	Attitude Magazine	RBZ0008113	04/01/2020	49499	16
8080 Test Library	AUDIO ART MAGAZINE 音響論壇	RBZ0003284	03/02/2020	247499	15
8080 Test Library	Audio Esoterica	RBZ0004905	08/19/2019	247500	1
8080 Test Library	AUDIO Germany	RBZ0005772	04/01/2020	247499	15
8080 Test Library	Audio Technology	RBZ0000073	09/01/2019	247500	4
8080 Test Library	Audubon Magazine	RBZ0000074	12/10/2019	247500	4
8080 Test Library	Australasian Bus & Coach	RBZ0008146	02/21/2020	247499	14
8080 Test Library	Australasian Dirt Bike Magazine	RBZ0007749	04/01/2020	247499	15
8080 Test Library	Australasian Transport News (ATN)	RBZ0008142	02/01/2020	247499	14
8080 Test Library	Australia's Best Landscape & Pool Design	RBZ0006821	02/01/2014	247500	1
8080 Test Library	Australia's Best Used Cars & 4WDs	RBZ0005333	12/01/2014	247500	1
8080 Test Library	Australian & New Zealand Handgun	RBZ0008261	11/22/2019	247500	1
8080 Test Library	Australian 4WD & SUV Buyer's Guide	RBZ0005096	09/01/2019	247500	2
8080 Test Library	Australian 4WD Action	RBZ0007788	09/11/2019	247500	10
8080 Test Library	Australian Country	RBZ0000076	02/01/2020	247498	7
8080 Test Library	Australian Country Coastal Homes	RBZ0008449	10/01/2014	247500	1
8080 Test Library	Australian Country Cookbook	RBZ0008006	04/01/2015	247500	1
8080 Test Library	Australian Country Gardens	RBZ0007410	03/01/2014	247500	1
8080 Test Library	Australian Country Homes	RBZ0010106	12/01/2019	247500	4
8080 Test Library	Australian Country Homesteads	RBZ0007411	03/01/2014	247500	1
8080 Test Library	Australian Cricket Heroes	RBZ0006733	10/01/2013	247500	1
8080 Test Library	Australian Flying	RBZ0008269	03/01/2020	247499	7
8080 Test Library	Australian Geographic	RBZ0005120	03/01/2020	247499	8
8080 Test Library	Australian Geographic Outdoor Magazine	RBZ0007630	01/01/2020	247500	6
8080 Test Library	Australian Guitar	RBZ0007994	11/01/2019	247500	6
8080 Test Library	Australian HiFi	RBZ0000081	01/01/2020	247499	7
8080 Test Library	Australian Home Beautiful	RBZ0000082	04/01/2020	247498	15
8080 Test Library	Australian Homespun	RBZ0000083	02/01/2020	247499	7
8080 Test Library	Australian House & Garden	RBZ0005792	03/01/2020	247499	14
8080 Test Library	Australian How To Paint	RBZ0007655	01/01/2020	247500	5
8080 Test Library	Australian Hunter	RBZ0008262	02/13/2020	247499	5
8080 Test Library	Australian Knife Magazine	RBZ0010229	09/01/2019	Unlimited	3
8080 Test Library	Australian Knitting	RBZ0007535	01/01/2020	247500	5
8080 Test Library	Australian Macworld: Mac Basics Superguide 2	RBZ0002219	01/01/2010	247500	1
8080 Test Library	Australian Macworld: Mac Troubleshooting Superguide	RBZ0002759	01/01/2011	247500	1
8080 Test Library	Australian Men's Fitness	RBZ0000084	04/01/2020	247499	15
8080 Test Library	Australian Model Railway Magazine	RBZ0007493	02/01/2020	247500	7
8080 Test Library	Australian Motorcycle News	RBZ0007750	02/27/2020	247500	30
8080 Test Library	Australian Motorcyclist	RBZ0008238	03/01/2020	247499	14
8080 Test Library	Australian Mountain Bike	RBZ0006424	01/22/2020	247500	8
8080 Test Library	Australian Muscle Car	RBZ0000085	02/01/2020	247499	8
8080 Test Library	Australian New Car Buyer	RBZ0000086	12/01/2019	247500	2
8080 Test Library	Australian Period Style	RBZ0004166	06/19/2019	247500	1
8080 Test Library	Australian Photography + Digital	RBZ0008271	03/01/2020	247499	14
8080 Test Library	Australian Quarterly	RBZ0008032	01/01/2020	247500	4
8080 Test Library	Australian Road Rider	RBZ0000090	03/01/2020	247498	7
8080 Test Library	Australian Sky & Telescope	RBZ0000092	04/01/2020	247499	10
8080 Test Library	Australian Stitches	RBZ0008850	12/01/2019	247500	3
8080 Test Library	Australian Traveller	RBZ0009261	02/01/2020	247500	5
8080 Test Library	The Australian Women's Weekly	RBZ0006978	03/01/2020	247499	15
8080 Test Library	The Australian Women’s Weekly Food	RBZ0007862	03/01/2020	247500	13
8080 Test Library	Australian Women’s Weekly NZ	RBZ0008903	03/01/2020	247499	16
8080 Test Library	Australian Wood Review	RBZ0008270	03/01/2020	247499	5
8080 Test Library	Australian Yoga Journal	RBZ0000095	02/01/2020	247500	9
8080 Test Library	Auto Bild es	RBZ0002410	03/06/2020	247499	31
8080 Test Library	Auto Bild México	RBZ0009139	03/01/2020	247499	15
8080 Test Library	Auto Express	RBZ0000097	03/04/2020	247499	61
8080 Test Library	Auto Plus Classique	RBZ0009625	02/27/2020	247499	9
8080 Test Library	Auto Plus Classiques Hors Série	RBZ0009626	03/01/2019	247500	2
8080 Test Library	Auto Plus France	RBZ0004644	03/06/2020	247499	65
8080 Test Library	Auto Plus Hors serie	RBZ0008544	07/01/2019	247500	4
8080 Test Library	Auto Plus Occasion	RBZ0009627	11/01/2019	247500	5
8080 Test Library	Autocar	RBZ0007099	03/04/2020	98999	61
8080 Test Library	Automobile	RBZ0001299	02/01/2020	247500	10
8080 Test Library	Automovil	RBZ0001086	03/01/2020	247499	13
8080 Test Library	Automovil Panamericano	RBZ0000098	03/01/2020	247499	15
8080 Test Library	Autopista	RBZ0001155	03/04/2020	247499	55
8080 Test Library	Autosport	RBZ0000099	03/05/2020	98999	61
8080 Test Library	Autosport Legends:Ayrton Senna	RBZ0003928	10/13/2011	99000	1
8080 Test Library	Avantages	RBZ0003020	02/27/2020	19799	18
8080 Test Library	Avantages HS	RBZ0005651	06/01/2018	19800	1
8080 Test Library	Aviation History	RBZ0005969	05/01/2020	49499	8
8080 Test Library	AXIS アクシス	RBZ0004954	02/29/2020	247499	7
