Title	Barcode	Email	Library	RBID	Checkouts	Time Period	Current Issue Default	Status
Dungeons & Dragons Forgotten Realms Classics Vol. 1				RBC0387473	0	Monthly	25	Active
Fox Bunny Funny				RBC0387479	0	Monthly	25	Active
G.I. Joe: A Real American Hero Vol. 3				RBC0387484	0	Monthly	25	Active
George R.R. Martin's Doorways				RBC0387491	0	Monthly	25	Active
Ghostbusters, Vol. 9: Mass Hysteria, Pt. 2				RBC0387496	0	Monthly	25	Active
Ghostbusters, Vol. 8: Mass Hysteria, Pt. 1				RBC0387495	0	Monthly	25	Active
Ghostbusters, Vol. 7: Happy Horror Days				RBC0387494	0	Monthly	25	Active
Ghostbusters, Vol. 6: Trains Brains Remains				RBC0387493	0	Monthly	25	Active
Ghostbusters, Vol. 5: The New Ghostbusters				RBC0387492	0	Monthly	25	Active
30 Days of Night: Dark Days				RBC0387438	0	Monthly	25	Active
Godzilla, Vol. 1				RBC0387497	0	Monthly	25	Active
30 Days of Night, Vol. 1: The Beginning of the End				RBC0387437	0	Monthly	25	Active
Graveslinger				RBC0387499	0	Monthly	25	Active
Hawken: A Man Called Hawken				RBC0387500	0	Monthly	25	Active
30 Days of Night: Return to Barrow				RBC0387436	0	Monthly	25	Active
Angel: A Hole in the World				RBC0387449	0	Monthly	25	Active
Angel: Auld Lang Syne				RBC0387448	0	Monthly	25	Active
Heck				RBC0387501	0	Monthly	25	Active
Hey Mister Come Hell or Highwater Pants				RBC0387502	0	Monthly	25	Active
Angel: Barbary Coast				RBC0387450	0	Monthly	25	Active
Jack Avarice Is The Courier				RBC0387748	0	Monthly	25	Active
Jinnrise, Vol.2				RBC0387504	0	Monthly	25	Active
Jinnrise, Vol. 1				RBC0387503	0	Monthly	25	Active
Angel: Blood and Trenches				RBC0387447	0	Monthly	25	Active
Joe Frankenstein				RBC0387505	0	Monthly	25	Active
Judas: The Last Days				RBC0387506	0	Monthly	25	Active
Judge Dredd, Vol. 4: Thirteen Badges				RBC0387510	0	Monthly	25	Active
Judge Dredd, Vol. 3				RBC0387509	0	Monthly	25	Active
Judge Dredd, Vol. 2				RBC0387508	0	Monthly	25	Active
Judge Dredd, Vol. 1				RBC0387507	0	Monthly	25	Active
Kill Shakespeare, Volume 1: A Sea of Troubles				RBC0387512	0	Monthly	25	Active
Kill Shakespeare Volume Kill Shakespeare, Volume 2: The Blast of War				RBC0387919	0	Monthly	25	Active
Kiss Solo				RBC0387735	0	Monthly	25	Active
Land of the Dead				RBC0387732	0	Monthly	25	Active
Less Than Heroes				RBC0387733	0	Monthly	25	Active
Life and Times of Savior 28				RBC0387734	0	Monthly	25	Active
Locke & Key, Vol. 2: Head Games				RBC0387737	0	Monthly	25	Active
Locke & Key, Vol. 1: Welcome to Lovecraft				RBC0387736	0	Monthly	25	Active
Lore: Book 1				RBC0387738	0	Monthly	25	Active
Love & Capes, Vol. 2: Going to the Chapel				RBC0388027	0	Monthly	25	Active
Love & Capes, Vol. 1: Do You Want to Know a Secret?				RBC0387739	0	Monthly	25	Active
Maddy Kettle (Book 1): The Adventure of the Thimblewitch				RBC0387740	0	Monthly	25	Active
Magic the Gathering: Theros				RBC0387741	0	Monthly	25	Active
Angel: Lorne				RBC0387445	0	Monthly	25	Active
Mars Attacks, Vol. 1: Attack From Space				RBC0387513	0	Monthly	25	Active
Monster & Madman				RBC0387515	0	Monthly	25	Active
Mr. Peabody & Sherman				RBC0387516	0	Monthly	25	Active
Angel: Old Friends				RBC0387451	0	Monthly	25	Active
My Little Pony: Friendship Is Magic, Vol. 2				RBC0387518	0	Monthly	25	Active
My Little Pony: Friendship Is Magic, Vol. 1				RBC0387517	0	Monthly	25	Active
Night of 1,000 Wolves				RBC0387520	0	Monthly	25	Active
Okie Dokie Donuts, Book 1				RBC0387521	0	Monthly	25	Active
OPUS by Berkeley Breathed: The Complete Digital Sunday Strips from 2003-08				RBC0387522	0	Monthly	25	Active
Orphan Black, Vol. 1				RBC0387523	0	Monthly	25	Active
Angel: Spotlight				RBC0387453	0	Monthly	25	Active
Parker: The Hunter				RBC0387524	0	Monthly	25	Active
Phoenix Without Ashes				RBC0387525	0	Monthly	25	Active
Pinky and Stinky				RBC0387526	0	Monthly	25	Active
Popeye: Classics, Vol. 2				RBC0388030	0	Monthly	25	Active
Popeye: Classics, Vol. 1				RBC0388153	0	Monthly	25	Active
Rio				RBC0387977	0	Monthly	25	Active
Road Rage				RBC0387528	0	Monthly	25	Active
Rocketeer Adventures, Vol. 1				RBC0387917	0	Monthly	25	Active
Angel: The Curse				RBC0387455	0	Monthly	25	Active
Samurai Jack, Vol. 4: The Warrior-King				RBC0387746	0	Monthly	25	Active
Samurai Jack, Vol. 3: Quest For The Broken Blade				RBC0387745	0	Monthly	25	Active
Samurai Jack, Vol. 2: The Scotsman's Curse				RBC0387744	0	Monthly	25	Active
Samurai Jack, Vol. 1: The Threads of Time				RBC0387743	0	Monthly	25	Active
Scene But Not Heard				RBC0387530	0	Monthly	25	Active
Shadow Show: Stories In Celebration of Ray Bradbury				RBC0387531	0	Monthly	25	Active
Shockrockets				RBC0387532	0	Monthly	25	Active
Silent Hill: Dying Inside				RBC0387533	0	Monthly	25	Active
Skylanders: The Kaos Trap				RBC0387536	0	Monthly	25	Active
Skylanders: Rift Into Overdrive				RBC0387535	0	Monthly	25	Active
CSI: Serial				RBC0387466	0	Monthly	25	Active
Spike: After The Fall, Vol.1				RBC0387976	0	Monthly	25	Active
Star Mage				RBC0387539	0	Monthly	25	Active
Star Slammers: The Complete Collection by Walter Simonson				RBC0387975	0	Monthly	25	Active
Star Trek, Vol. 6: After Darkness				RBC0387426	0	Monthly	25	Active
Star Trek, Vol. 5				RBC0387443	0	Monthly	25	Active
Star Trek, Vol. 4				RBC0387442	0	Monthly	25	Active
Star Trek, Vol. 3				RBC0387441	0	Monthly	25	Active
Star Trek, Vol. 2				RBC0387440	0	Monthly	25	Active
Star Trek, Vol. 1				RBC0387439	0	Monthly	25	Active
Starstruck				RBC0387973	0	Monthly	25	Active
Stuff About Sex				RBC0387540	0	Monthly	25	Active
Suicide Forest				RBC0387541	0	Monthly	25	Active
Superstar: As Seen On TV				RBC0387542	0	Monthly	25	Active
The Crow: Midnight Legends, Vol. 4: Waking Nightmares				RBC0387546	0	Monthly	25	Active
The Crow: Midnight Legends, Vol. 3: Wild Justice				RBC0387545	0	Monthly	25	Active
The Crow: Midnight Legends, Vol. 2: Flesh & Blood				RBC0387544	0	Monthly	25	Active
The Crow: Midnight Legends, Vol. 1: Dead Time				RBC0387543	0	Monthly	25	Active
The Devil's Concubine				RBC0387547	0	Monthly	25	Active
The Hammer: Kelley Jones' Complete Series				RBC0387548	0	Monthly	25	Active
The Lovely Horrible Stuff				RBC0387549	0	Monthly	25	Active
The Maxx: Maxximized, Vol. 2				RBC0387551	0	Monthly	25	Active
The Maxx: Maxximized, Vol. 1				RBC0387550	0	Monthly	25	Active
The Rocketeer: Cargo of Doom				RBC0387553	0	Monthly	25	Active
The X-Files: Season 10, Vol. 2				RBC0387555	0	Monthly	25	Active
The X-Files: Season 10, Vol. 1				RBC0387554	0	Monthly	25	Active
The X-Files: Year Zero				RBC0387556	0	Monthly	25	Active
Torpedo, Volume 1				RBC0387557	0	Monthly	25	Active
Danger Girl: Trinity				RBC0387469	0	Monthly	25	Active
Transformers: Animated, Vol. 09				RBC0387574	0	Monthly	25	Active
Transformers: Animated, Vol. 08				RBC0387573	0	Monthly	25	Active
Transformers: Animated, Vol. 07				RBC0387572	0	Monthly	25	Active
Transformers: Animated, Vol. 06				RBC0387571	0	Monthly	25	Active
Transformers: Animated, Vol. 05				RBC0387570	0	Monthly	25	Active
Transformers: Animated, Vol. 04				RBC0387569	0	Monthly	25	Active
Transformers: Animated, Vol. 03				RBC0387568	0	Monthly	25	Active
Transformers: Animated, Vol. 02				RBC0387567	0	Monthly	25	Active
Transformers: Animated, Vol. 13				RBC0387566	0	Monthly	25	Active
Transformers: Animated Vol. 12				RBC0387565	0	Monthly	25	Active
Transformers: Animated, Vol. 11				RBC0387564	0	Monthly	25	Active
Transformers: Animated, Vol. 10				RBC0387563	0	Monthly	25	Active
Transformers: Animated Vol. 01				RBC0387562	0	Monthly	25	Active
Triple Helix				RBC0387594	0	Monthly	25	Active
True Blood Vol. 1: Where Were You				RBC0387595	0	Monthly	25	Active
Upside Down, Book 1: A Vampire Tale				RBC0387598	0	Monthly	25	Active
Vitriol the Hunter				RBC0387599	0	Monthly	25	Active
Wire Hangers				RBC0387600	0	Monthly	25	Active
Wizard's Tale				RBC0387601	0	Monthly	25	Active
X-Files/30 Days of Night, Vol. 1				RBC0387747	0	Monthly	25	Active
True Blood, Vol. 2: Tainted Love				RBC0387597	0	Monthly	25	Active
True Blood, Vol. 1: All Together Now				RBC0387596	0	Monthly	25	Active
Transformers: Spotlight - Bumblebee				RBC0387593	0	Monthly	25	Active
Transformers: Sector 7				RBC0387592	0	Monthly	25	Active
Transformers: Robots in Disguise, Vol. 5				RBC0387591	0	Monthly	25	Active
Transformers: Robots in Disguise, Vol. 4				RBC0387590	0	Monthly	25	Active
Transformers: Robots in Disguise, Vol. 3				RBC0387589	0	Monthly	25	Active
Transformers: Robots in Disguise, Vol. 2				RBC0387588	0	Monthly	25	Active
Transformers: Robots in Disguise, Vol. 1				RBC0387587	0	Monthly	25	Active
Transformers: Regeneration One, Vol. 1				RBC0387585	0	Monthly	25	Active
Transformers: Prime - Beast Hunters, Welcome to Darkmount				RBC0387584	0	Monthly	25	Active
Transformers: Primacy				RBC0413653	0	Monthly	25	Active
Transformers: More Than Meets the Eye Volume 1				RBC0387576	0	Monthly	25	Active
Transformers: Monstrosity				RBC0387575	0	Monthly	25	Active
Transformers: Animated - The Allspark Almanac I				RBC0387560	0	Monthly	25	Active
Transformers vs. G.I. Joe, Vol. 1				RBC0387559	0	Monthly	25	Active
Transformers Volume 7 - Chaos				RBC0387558	0	Monthly	25	Active
Transformers 3 Movie Adaptation - Dark of the Moon				RBC0387431	0	Monthly	25	Active
The Other Dead				RBC0387552	0	Monthly	25	Active
Star Trek: Next Generation - Ghosts				RBC0387430	0	Monthly	25	Active
Star Trek: New Visions, Vol. 1				RBC0387428	0	Monthly	25	Active
Star Trek: Countdown To Darkness				RBC0387427	0	Monthly	25	Active
Star Trek Classics, Volume 3: Encounters with the Unknown				RBC0387423	0	Monthly	25	Active
Star Trek Classics, Volume 4: Beginnings				RBC0387422	0	Monthly	25	Active
Star Trek Classics, Volume 5: Who Killed Captain Kirk				RBC0387421	0	Monthly	25	Active
Star Trek Classics, Volume 2: Enemy Unseen				RBC0387424	0	Monthly	25	Active
Spike: The Devil You Know				RBC0387538	0	Monthly	25	Active
Spike: Asylum				RBC0387537	0	Monthly	25	Active
Silent Hill: Past Life				RBC0387534	0	Monthly	25	Active
Rocketeer Adventures, Vol. 2				RBC0387529	0	Monthly	25	Active
Popeye, Vol. 1				RBC0387527	0	Monthly	25	Active
Popeye, Vol. 3				RBC0406814	0	Monthly	25	Active
Popeye, Vol. 2				RBC0406813	0	Monthly	25	Active
Mars Attacks: First Born				RBC0387514	0	Monthly	25	Active
Magic the Gathering: Vol. 2 - The Spell Thief				RBC0387742	0	Monthly	25	Active
Magic: The Gathering, Vol. 1				RBC0388028	0	Monthly	25	Active
Kill Shakespeare, Vol. 4: The Mask of Night				RBC0387731	0	Monthly	25	Active
Kill Shakespeare, Volume 3: The Tide of Blood				RBC0387730	0	Monthly	25	Active
Judge Dredd: Year One				RBC0387511	0	Monthly	25	Active
Godzilla: Kingdom of Monsters, Volume 1				RBC0387498	0	Monthly	25	Active
G.I. Joe: The Cobra Files, Vol. 1				RBC0387489	0	Monthly	25	Active
G.I. Joe: Special Missions, Vol. 1				RBC0387488	0	Monthly	25	Active
G.I. Joe: Snake Eyes: Agent of Cobra				RBC0387487	0	Monthly	25	Active
G.I. Joe: Retaliation Movie Prequel				RBC0387486	0	Monthly	25	Active
G.I. Joe: Deep Terror				RBC0387485	0	Monthly	25	Active
G.I. Joe: Classics Yearbook				RBC0387898	0	Monthly	25	Active
G.I. Joe, Vol. 1: The Fall of G.I. Joe				RBC0387480	0	Monthly	25	Active
Dungeons & Dragons: Drizzt - Neverwinter Tales				RBC0387478	0	Monthly	25	Active
Dungeons & Dragons: Cutter				RBC0387477	0	Monthly	25	Active
Chasing the Dead				RBC0406798	0	Monthly	25	Active
Dinosaurs Attack!				RBC0406799	0	Monthly	25	Active
Doomsday.1				RBC0406800	0	Monthly	25	Active
Galaxy Quest: The Journey Continues				RBC0406801	0	Monthly	25	Active
Littlest Pet Shop Vol. 2: Wait A Second				RBC0406807	0	Monthly	25	Active
Littlest Pet Shop: Spring Cleaning				RBC0406806	0	Monthly	25	Active
Littlest Pet Shop: Open for Business				RBC0406805	0	Monthly	25	Active
OZ: Secret Island				RBC0406812	0	Monthly	25	Active
OZ: Ice King				RBC0406811	0	Monthly	25	Active
OZ: Forgotten Forest				RBC0406810	0	Monthly	25	Active
OZ: Blue Witch				RBC0406809	0	Monthly	25	Active
Spike Vs. Dracula: Collected Edition				RBC0406817	0	Monthly	25	Active
Memorial				RBC0406808	0	Monthly	25	Active
Back to the Future, Vol. 1: Untold Tales and Alternate Timelines				RBC0406797	0	Monthly	25	Active
Judge Dredd: Mega-City Two				RBC0406803	0	Monthly	25	Active
Surfside Girls, Book One: The Secret of Danger Point				RBC0406818	0	Monthly	25	Active
Korgi: Short Tails				RBC0406804	0	Monthly	25	Active
Return of the Dapper Men				RBC0406815	0	Monthly	25	Active
Home Time: Book One				RBC0406802	0	Monthly	25	Active
Sh_t My President Says: The Illustrated Tweets of Donald J. Trump				RBC0406816	0	Monthly	25	Active
5 Days to Die				RBC0389805	0	Monthly	25	Active
Alan Robert's Killogy				RBC0389780	0	Monthly	25	Active
Angel: Smile Time - Collected Edition				RBC0389781	0	Monthly	25	Active
Transformers: Regeneration One, Vol. 2				RBC0387586	0	Monthly	25	Active
Transformers: Prime - Beast Hunters, Vol. 2				RBC0387583	0	Monthly	25	Active
Transformers: Prime - Beast Hunters, Vol. 1				RBC0387582	0	Monthly	25	Active
Transformers: More Than Meets the Eye, Volume 5				RBC0387580	0	Monthly	25	Active
Transformers: More Than Meets the Eye, Volume 4				RBC0387579	0	Monthly	25	Active
Transformers: More Than Meets the Eye, Volume 3				RBC0387578	0	Monthly	25	Active
Transformers: More Than Meets the Eye, Volume 2				RBC0387577	0	Monthly	25	Active
Transformers: Animated - The Allspark Almanac II				RBC0387561	0	Monthly	25	Active
Star Trek: New Visions, Vol. 2				RBC0387429	0	Monthly	25	Active
Star Trek Classics, Volume 1: The Gorn Crisis				RBC0387425	0	Monthly	25	Active
G.I. Joe: The Cobra Files, Vol. 2				RBC0387490	0	Monthly	25	Active
G.I. Joe, Vol. 2: The Fall of G.I. Joe				RBC0387481	0	Monthly	25	Active
Star Trek Vol. 9: The Q Gambit				RBC0424302	0	Monthly	25	Active
Star Trek Vol. 8				RBC0424301	0	Monthly	25	Active
Star Trek Vol. 7				RBC0424300	0	Monthly	25	Active
Locke & Key Vol. 3: Crown of Shadows				RBC0424291	0	Monthly	25	Active
G.I Joe: Cobra Civil War Vol. 1				RBC0424290	0	Monthly	25	Active
G.I. Joe: Classics Vol. 3				RBC0424288	0	Monthly	25	Active
G.I. Joe: Classics Vol. 2				RBC0424287	0	Monthly	25	Active
G.I. Joe: Classics Vol. 1				RBC0424286	0	Monthly	25	Active
G.I. Joe: A Real American Hero, Vol. 2				RBC0387483	0	Monthly	25	Active
G.I. Joe: A Real American Hero, Vol. 1				RBC0387482	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Villain Micro-Series Vol. 1				RBC0424239	0	Monthly	25	Active
Judge Dredd: Mega-City Zero Vol. 1				RBC0424278	0	Monthly	25	Active
Edward Scissorhands Vol. 1: Parts Unknown				RBC0424274	0	Monthly	25	Active
Star Trek Archives Vol. 1: Best of Peter David				RBC0424294	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Adventures Vol. 5				RBC0424266	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Adventures Vol. 4				RBC0424265	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Adventures Vol. 3				RBC0424264	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Adventures Vol. 2				RBC0424263	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Adventures Vol. 1				RBC0424261	0	Monthly	25	Active
American Elf 1999				RBC0423975	0	Monthly	25	Active
American Elf 2000				RBC0423976	0	Monthly	25	Active
American Elf 2001				RBC0423977	0	Monthly	25	Active
American Elf 2002				RBC0423978	0	Monthly	25	Active
American Elf 2003				RBC0423979	0	Monthly	25	Active
American Elf 2004				RBC0423980	0	Monthly	25	Active
American Elf 2005				RBC0423981	0	Monthly	25	Active
American Elf 2006				RBC0423982	0	Monthly	25	Active
American Elf 2007				RBC0423983	0	Monthly	25	Active
American Elf 2008				RBC0423984	0	Monthly	25	Active
American Elf 2009				RBC0423985	0	Monthly	25	Active
American Elf 2010				RBC0423986	0	Monthly	25	Active
American Elf 2011				RBC0423987	0	Monthly	25	Active
American Elf 2012				RBC0423988	0	Monthly	25	Active
Amazing Forest				RBC0424259	0	Monthly	25	Active
Cartoon Network: Super Secret Crisis War! Vol. 2				RBC0424262	0	Monthly	25	Active
Cartoon Network: Super Secret Crisis War! Vol. 1				RBC0424260	0	Monthly	25	Active
Godzilla In Hell				RBC0424275	0	Monthly	25	Active
Godzilla: Rulers of Earth Vol. 1				RBC0424276	0	Monthly	25	Active
Joe Hills The Cape:1969				RBC0424296	0	Monthly	25	Active
Joe Hills The Cape				RBC0424295	0	Monthly	25	Active
Powerpuff Girls Classics Vol. 2: Power Up				RBC0424280	0	Monthly	25	Active
Powerpuff Girls Classics Vol. 1: Power Party				RBC0424279	0	Monthly	25	Active
Remains				RBC0424292	0	Monthly	25	Active
Parker: The Outfit				RBC0424298	0	Monthly	25	Active
Star Trek / Planet of the Apes: The Primate Directive				RBC0424299	0	Monthly	25	Active
Star Trek: Best of Klingons				RBC0424293	0	Monthly	25	Active
Star Trek: Intelligence Gathering				RBC0424289	0	Monthly	25	Active
Star Trek: Khan - Ruling in Hell				RBC0424285	0	Monthly	25	Active
Star Trek: Legion of Super-Heroes				RBC0424284	0	Monthly	25	Active
Star Trek: Mirror Images				RBC0424283	0	Monthly	25	Active
Star Trek: New Frontier				RBC0424282	0	Monthly	25	Active
Star Trek: The Next Generation - Hive				RBC0424281	0	Monthly	25	Active
Star Trek: Waypoint				RBC0424277	0	Monthly	25	Active
Teenage Mutant Ninja Turtles Vol. 7: City Fall Part 2				RBC0424273	0	Monthly	25	Active
Teenage Mutant Ninja Turtles Vol. 6: City Fall Part 1				RBC0424272	0	Monthly	25	Active
Teenage Mutant Ninja Turtles Vol. 5: Krang War				RBC0424271	0	Monthly	25	Active
Teenage Mutant Ninja Turtles Vol. 4: Sins Of The Fathers				RBC0424270	0	Monthly	25	Active
Teenage Mutant Ninja Turtles Vol. 3: Shadows of the Past				RBC0424269	0	Monthly	25	Active
Teenage Mutant Ninja Turtles Vol. 2: Enemies Old Enemies New				RBC0424268	0	Monthly	25	Active
Teenage Mutant Ninja Turtles Vol. 1: Change is Constant				RBC0424267	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Black & White Classics Vol. 2				RBC0424258	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Black & White Classics Vol. 1				RBC0424257	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Casey & April				RBC0424256	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Classics Vol. 4				RBC0424255	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Classics Vol. 3				RBC0424254	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Classics Vol. 2				RBC0424253	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Classics Vol. 1				RBC0424252	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Microseries Vol. 1				RBC0424251	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: New Animated Adventures Vol. 3				RBC0424250	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: New Animated Adventures Vol. 2				RBC0424249	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: New Animated Adventures Vol. 1				RBC0424248	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Secret History of the Foot Clan				RBC0424247	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Tales Of The TMNT Vol. 3				RBC0424245	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Tales Of The TMNT Vol. 2				RBC0424244	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Tales Of The TMNT Vol. 1				RBC0424243	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Turtles in Time				RBC0424242	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Universe Vol. 2: The New Strangeness				RBC0424241	0	Monthly	25	Active
Teenage Mutant Ninja Turtles: Universe Vol. 1				RBC0424240	0	Monthly	25	Active
AGE OF ULTRON - Special				RBC0424323	0	Monthly	25	Active
ALL-NEW CAPTAIN AMERICA VOL. 1: HYDRA ASCENDANT - Special				RBC0424324	0	Monthly	25	Active
ALL-NEW CAPTAIN AMERICA: FEAR HIM - Special				RBC0424325	0	Monthly	25	Active
ALL-NEW GHOST RIDER VOL. 2: LEGEND - Special				RBC0424327	0	Monthly	25	Active
ALL-NEW GHOST RIDER VOL. 1: ENGINES OF VENGEANCE - Special				RBC0424326	0	Monthly	25	Active
ALL-NEW GUARDIANS OF THE GALAXY VOL. 1: COMMUNICATION BREAKDOWN - Special				RBC0424328	0	Monthly	25	Active
ALL-NEW INHUMANS VOL. 2: SKYSPEARS - Special				RBC0424330	0	Monthly	25	Active
ALL-NEW INHUMANS VOL. 1: GLOBAL OUTREACH - Special				RBC0424329	0	Monthly	25	Active
ALL-NEW WOLVERINE VOL. 4: IMMUNE - Special				RBC0424334	0	Monthly	25	Active
ALL-NEW WOLVERINE VOL. 3: ENEMY OF THE STATE II - Special				RBC0424333	0	Monthly	25	Active
ALL-NEW WOLVERINE VOL. 2: CIVIL WAR II - Special				RBC0424332	0	Monthly	25	Active
ALL-NEW WOLVERINE VOL. 1: THE FOUR SISTERS - Special				RBC0424331	0	Monthly	25	Active
ALL-NEW X-MEN VOL. 7: THE UTOPIANS - Special				RBC0424341	0	Monthly	25	Active
ALL-NEW X-MEN VOL. 6: THE ULTIMATE ADVENTURE - Special				RBC0424340	0	Monthly	25	Active
ALL-NEW X-MEN VOL. 5: ONE DOWN - Special				RBC0424339	0	Monthly	25	Active
ALL-NEW X-MEN VOL. 4: ALL-DIFFERENT - Special				RBC0424338	0	Monthly	25	Active
ALL-NEW X-MEN VOL. 3: OUT OF THEIR DEPTH - Special				RBC0424337	0	Monthly	25	Active
ALL-NEW X-MEN VOL. 2: HERE TO STAY - Special				RBC0424336	0	Monthly	25	Active
ALL-NEW X-MEN VOL. 1: YESTERDAYS X-MEN - Special				RBC0424335	0	Monthly	25	Active
ALL-NEW X-MEN: INEVITABLE VOL. 4 - IVX - Special				RBC0424345	0	Monthly	25	Active
ALL-NEW X-MEN: INEVITABLE VOL. 3 - HELL HATH SO MUCH FURY - Special				RBC0424344	0	Monthly	25	Active
ALL-NEW X-MEN: INEVITABLE VOL. 2 - APOCALYPSE WARS - Special				RBC0424343	0	Monthly	25	Active
ALL-NEW X-MEN: INEVITABLE VOL. 1 - GHOSTS OF CYCLOPS - Special				RBC0424342	0	Monthly	25	Active
ALL-NEW, ALL-DIFFERENT AVENGERS VOL. 3: CIVIL WAR II - Special				RBC0424348	0	Monthly	25	Active
ALL-NEW, ALL-DIFFERENT AVENGERS VOL. 2: FAMILY BUSINESS - Special				RBC0424347	0	Monthly	25	Active
ALL-NEW, ALL-DIFFERENT AVENGERS VOL. 1: THE MAGNIFICENT SEVEN - Special				RBC0424346	0	Monthly	25	Active
SPIDER-MAN: VENGEANCE OF VENOM - Special				RBC0424638	0	Monthly	25	Active
AMAZING SPIDER-MAN MASTERWORKS VOL. 5 - Special				RBC0424353	0	Monthly	25	Active
AMAZING SPIDER-MAN MASTERWORKS VOL. 4 - Special				RBC0424352	0	Monthly	25	Active
AMAZING SPIDER-MAN MASTERWORKS VOL. 3 - Special				RBC0424351	0	Monthly	25	Active
AMAZING SPIDER-MAN MASTERWORKS VOL. 2 - Special				RBC0424350	0	Monthly	25	Active
AMAZING SPIDER-MAN MASTERWORKS VOL. 1 - Special				RBC0424349	0	Monthly	25	Active
SPIDER-MAN: ENDS OF THE EARTH - Special				RBC0424634	0	Monthly	25	Active
